"","orgao","objeto","fornecedor","valor"
"3847","VERDE E MEIO AMBIENTE","Contratação de empresa especializada na prestação de serviços técnicos de manejo e conservação dos Parques Municipais que integram o Grupo Rodeio: Parque Vila do Rodeio, Parque Ermelino Matarazzo, Parque Linear Itaim, Parque Central Itaim e Parque Linear Rio Verde","TRAJETO CONSTRUÇÕES E SERVIÇOS LTDA",1000917.24
"3848","SAÚDE","Tratamento de clientela que necessite de assistência médica em regime ambulatorial e/ou de internação, para atender à demanda submetida à regulação e autorização do  Complexo Regulador Municipal.","Associação Benef. Social Nossa Senhora do Pari",1e+05
"3849","INSTITUTO DE PREVIDÊNCIA MUNICIPAL","Contratação de empresa especializada em prestação de serviços de “gestão estratégica de processos (modelagem, monitoramento, capacitação e gestão)”, visando, além dos seus benefícios intrínsecos, a racionalização dos processos antes de sua informatização, pelo período de 12 meses.","MEMORA PROCESSOS INOVADORES LTDA.",1266405
"3850","EDUCAÇÃO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE TRANSPORTES COM VEÍCULOS, INCLUINDO MOTORISTA E COMBUSTÍVEL, DE QUILOMETRAGEM LIVRE, PELO PERIODO DE 12 (DOZE) MESES.","COOPER PLANALTO – COOPERATIVA DE TRABALHO EM TRAN",338455.29
"3851","SAÚDE","Registro de preço para o fornecimento de CURATIVO HIDROGEL EM BISNAGA.","LM FARMA INDÚSTRIA E COMÉRCIO LTDA.",584818.02
"3852","SAÚDE","Registro de preço para o fornecimento de FORNECIMENTO DE DIETAS, para Atendimento de Determinações do Poder Judiciário, Ministério Público e Conselhos Tutelares - Ações Judiciais, para a Divisão Técnica de Suprimentos - SMS.3 / Grupo Técnico de Compras - GTC / Área Técnica de Ação Judicial.","NUTRIPORT COMERCIAL LTDA.",1506600
"3853","SAÚDE","Registro de preço para o fornecimento de FORNECIMENTO DE PASTA PARA TRATAMENTO DE ALVEOLITE E EUGENOL, para a Divisão Técnica de Suprimentos – SMS.3 / Grupo Técnico de Compras – GTC / Área Técnica de Odontologia.","SDK COMÉRCIO DE CORRELATOS DA SAÚDE LTDA - EPP",79920
"3854","SAÚDE","Registro de preço para o fornecimento de REAGENTES PARA DETECÇÃO DE ANTICORPOS ANTI HIV, HEPATITES, SÍFILIS E CHAGAS, COM CESSÃO DE EQUIPAMENTOS EM COMODATO, para a Divisão Técnica de Suprimentos – SMS.3 / Grupo Técnico de Compras – GTC / Área Técnica de Laboratório.","ABBOTT LABORATÓRIOS DO BRASIL LTDA.",1796034
"3855","SAÚDE","Registro de preço para o fornecimento de MICROTUBOS PARA CONGELAMENTO, ÓLEO DE IMERSÃO PARA MICROSCOPIA, PONTEIRA DESCARTÁVEL DE 200 A 1000 MCL, para a Divisão Técnica de Suprimentos – SMS.3 / Grupo Técnico de Compras – GTC / Área Técnica de Laboratório.","CONSALAB COMERCIAL & IMPORTADORA LTDA.",217822.8
"3856","SAÚDE","Registro de preço para o fornecimento de SERINGAS 50UI E 100UI PARA INSULINA, USO DOMICILIAR, DESCARTÁVEL, ESTÉRIL, para a Divisão Técnica de Suprimentos – SMS.3 / Grupo Técnico de Compras – GTC / Área Técnica de Material Médico Hospitalar.","BECTON DICKINSON INDÚSTRIAS CIRÚRGICAS LTDA.",18074022
"3857","SAÚDE","Registro de preços para o fornecimento de BROCAS GATES DIVERSAS.","IN-DENTAL PRODS ODONT MÉDICOS HOSPITAL LTDA. - EPP",39231.36
"3858","SAÚDE","Rgistro de preço para o fornecimento de MEDICAMENTOS MANIPULADOS III, para a Divisão Técnica de Suprimentos – SMS.3 / Grupo Técnico de Compras – GTC / Área Técnica de Medicamentos.","HEALTH TECH LABORATÓRIO DE MANIPULAÇÃO LTDA.",133680
"3859","SAÚDE","Registro de preço para o fornecimento de REAGENTES PARA TORC, COM CESSÃO DE EQUIPAMENTO EM COMODATO, para a Coordenação de Atenção Básica / Área Técnica de Assistência Laboratorial.","ABBOTT LABORATÓRIOS DO BRASIL LTDA.",3058334.4
"3860","SAÚDE","Registro de preço para o fornecimento de SONDA ENDOTRAQUEAL, COM BALÃO, RADIOPACO, DESCARTÁVEL, ESTÉRIL III, para a Divisão Técnica de Suprimentos - SMS.3 / Grupo Técnico de Compras - GTC / Área Técnica de Material Médico Hospitalar.","CIRÚRGICA FERNANDES COM MAT CIR HOSP SOC LTDA.",172317.96
"3861","INFRA-ESTRUTURA URBANA E OBRAS","Contratação de empresa para a execução de serviços e obras, para a construção de escolas para educação fundamental e infantil, integrantes dos Lotes 5, 6 e 13 inseridos no Programa de eliminação do 3º turno oriundos do processo de Pré-qualificação nº 002/10/SIURB","LOPES KALIL ENGENHARIA E COMÉRCIO LTDA.",51677843.39
"3862","COORDENAÇÃO DAS SUBPREFEITURAS","Contratação de Empresa especializada em controle de portaria","ESPERANÇA SERVIÇOS LTDA.-EPP.",53906.88
"3863","COORDENAÇÃO DAS SUBPREFEITURAS","Locação de veículos sem combustivel, sem motorista e quilometragem livre","SP LOCSERV LOC. VEIC. SERVS. GER. LTDA.",101400
"3864","SUBPREFEITURA: JABAQUARA","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA E SEGURANÇA PATRIMONIAL PARA A SEDE E PARA A UNIDADE DE TRANSPORTES INTERNOS (U.T.I.) DA SUBPREFEITURA JABAQUARA","MOLISE SERVIÇOS E CONSTRUÇÕES LTDA",437873.76
"3865","HABITAÇÃO","Contratação de empresa especializada em locação de banheiros químicos.","MAGKIBAN DE COMÉRCIO E SERVIÇOS LTDA.",27720
"3866","CULTURA","Execução de serviços e obras para restauro e requalificação do Edifício Sampaio Moreira","LOPES KALIL ENGENHARIA E COMÉRCIO LTDA.",14450866.96
"3867","SUBPREFEITURA: FREGUESIA-BRASILÂNDIA","trata prestação de serviços à PMSP – Subprefeitura Freguesia/Brasilândia de manutenção e conservação de logradouros públicos, no que segue:","Jarc Transp., Construção, Paisagismo e Serviços Lt",1601126.4
"3868","SAÚDE","Locação do imóvel sito na Av. Dom Pedro I, nº 594 - Ipiranga – São Paulo - SP, onde se encontra instalada a UBS “Dr. Oswaldo Marasca Junior”, da Supervisão Técnica de Saúde Ipiranga","PAULO ROBERTO FAUSTO",26176.05
"3869","SAÚDE","Prestação de serviços de NUTRIÇÃO E ALIMENTAÇÃO TRANSPORTADA","LE GARÇON ALIMENTAÇÃO E SERVIÇOS LTDA",987592.63
"3870","SAÚDE","Prestação de serviços de NUTRIÇÃO E ALIMENTAÇÃO TRANSPORTADA","LE GARÇON ALIMENTAÇÃO E SERVIÇOS LTDA",560074.22
"3871","SAÚDE","Serviço de telefonia móvel","OI MÓVEL S/A, TELEMAR MORTE LESTE S/A, e OI S/A",24000
"3872","SAÚDE","Locação do imóvel sito a Rua Juca Mendes, nº 179 – Vila Carrão – São Paulo - SP, onde se encontra instalado a Supervisão Técnica de Saúde Aricanduva/Mooca","JOSÉ AUGUSTO FERNANDES GOMES e JANICE BARTACHINI G",154871.88
"3873","SAÚDE","Locação do imóvel sito na Av. Indianópolis, nº 650 – Planalto paulista – São Paulo - SP, onde se encontra instalada UBS “dr. Sigmund Freud”, da Supervisão Técnica de Saúde Jabaquara/Vila Mariana.","LUZIA BUOSI ASSALI, ELISABETH ASSALI, JORGE ASSALI",98156.64
"3874","SUBPREFEITURA: CAMPO LIMPO","CONTRATAÇÃO DO SERVIÇO DE LIMPEZA MECÂNICA DE BOCAS DE LOBO E RAMAIS ATRAVÉS DE EQUIPE – 01 EQUIPE POR 4 MESES","NORBRASIL SANEAMENTO LTDA",566400
"3875","COORDENAÇÃO DAS SUBPREFEITURAS","MAN.DE VIAS PUBL.","FREMIX ENG. E COM. LTDA.",5361796.26
"3876","SÃO PAULO URBANISMO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ARQUITETURA E ENGENHARIA PARA A ELABORAÇÃO DE PROJETOS DE ARQUITETURA E COMPLEMENTARES DE ARRANJOS FUNCIONAIS E ESTUDOS DE COMPOSIÇÃO PARA PROJETOS DOS CEU - CENTROS EDUCACIONAIS UNIFICADOS, CONFORME DETALHADO NO TERMO DE REFERÊNCIA, CONSTANTE NO ANEXO 1 DESTE EDITAL.","Helena Ayoub Silva & Arquitetos Associados EPP",976536.06
"3877","EDUCAÇÃO","Contratação da São Paulo Turismo S/A","SÃO PAULO TURISMO S/A",842271.8
"3878","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “Arena Brazil VII”","Federação Paulista de Lutas e Artes marciais",85000
"3879","SÃO PAULO URBANISMO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE VEICULAÇÃO DAS PUBLICAÇÕES LEGAIS DOS ATOS ADMINISTRATIVOS DA SÃO PAULO URBANISMO EM JORNAL DE GRANDE CIRCULAÇÃO.","F.Lopes Publicidade Ltda",97600
"3880","DIREITOS HUMANOS E CIDADANIA","O presente pregão tem como objeto a Contratação de empresa especializada na Prestação de Serviços de Locação de Veículos TIPO ""B"", TIPO “C” e TIPO “D1”, com e sem motorista, com fornecimento de combustível e quilometragem livre, para atender as necessidades da Secretaria Municipal de Direitos Humanos e Cidadania, e o CMDCA – Conselho Municipal da Criança e do Adolescente,  conforme as características aqui elencadas e com as demais especificações descritas no ANEXO II.","MENDES E FREITAS LOGÍSTICA LTDA",2025934.08
"3881","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","Serviço Telefonico fixo comutado","EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES SA - EMBRAT",271517.27
"3882","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇOS DE MANUTENÇÃO E ADEQUAÇÃO","TEMAFE ENGENHARIA E CONSTRUÇÕES LTDA.",NA
"3883","EDUCAÇÃO","LOCAÇÃO DE IMÓVEL PARA ACOMODAR CEFAI E DOT-P DA DRE-JT.","ERIC JUNDI MORITA",74396.28
"3884","SAÚDE","Tratamento de clientela que necessite de assistência médica em regime ambulatorial e/ou de internação, para atender à demanda submetida à regulação e autorização do  Complexo Regulador Municipal.","INSTITUTO BRASILEIRO DE CONTROLE DO CÂNCER - IBCC",150000
"3885","SAÚDE","Contratação de empresa especializada na prestação de serviços de vigilância patrimonial desarmada com implantação e monitoramento de sistema de CFTV e sistema de controle de acesso – com manutenção preventiva e corretiva dos sistemas – e monitoramento de imagens para a Coordenação de Vigilância em Saúde – COVISA, postos de armazenamento e Distribuição de imunobiológicos: Centro Oeste, Leste e Sul, Laboratório de Controle de Qualidade e Gerência do Centro de Controle de Zoonozes - CCZ.","ESSENCIAL SISTEMA DE SEGURANÇA EIRELI",1184308.16
"3886","SAÚDE","Contratação de empresa especializada na prestação de serviços de vigilância patrimonial desarmada com implantação e monitoramento de sistema de CFTV e sistema de controle de acesso – com manutenção preventiva e corretiva dos sistemas – e monitoramento de imagens para a Coordenação de Vigilância em Saúde – COVISA, postos de armazenamento e Distribuição de imunobiológicos: Centro Oeste, Leste e Sul, Laboratório de Controle de Qualidade e Gerência do Centro de Controle de Zoonozes - CCZ.","REGIONAL SERVIÇOSS SEGURANÇA VIGILÂNCIA LTDA.-EPP",4268000.37
"3887","SAÚDE","Contratação de empresa especializada na prestação de serviços de vigilância patrimonial desarmada com implantação e monitoramento de sistema de CFTV e sistema de controle de acesso – com manutenção preventiva e corretiva dos sistemas – e monitoramento de imagens para a Coordenação de Vigilância em Saúde – COVISA, postos de armazenamento e Distribuição de imunobiológicos: Centro Oeste, Leste e Sul, Laboratório de Controle de Qualidade e Gerência do Centro de Controle de Zoonozes - CCZ.","ESSENCIAL SISTEMA DE SEGURANÇA EIRELI",1222814.88
"3888","SAÚDE","Contratação de empresa especializada na prestação de serviços de vigilância patrimonial desarmada com implantação e monitoramento de sistema de CFTV e sistema de controle de acesso – com manutenção preventiva e corretiva dos sistemas – e monitoramento de imagens para a Coordenação de Vigilância em Saúde – COVISA, postos de armazenamento e Distribuição de imunobiológicos: Centro Oeste, Leste e Sul, Laboratório de Controle de Qualidade e Gerência do Centro de Controle de Zoonozes - CCZ.","REGIONAL SERVIÇOS SEGURANÇA VIGILÂNCIA LTDA. - EPP",4476705.96
"3889","SAÚDE","contratação de empresa especializada para execução dos serviços técnicos de higienização ambiental, limpeza, asseio e conservação predial, dedetização, desinsetização, desratização, com fornecimento de mão de obra especializada, de saneantes e domissanitários, materiais de consumo, utensílios, máquinas, apropriados ao objeto e equipamentos de limpeza, incluindo a coleta de resíduo interno e externo em unidades de saúde e sede da CRS.Leste","GUIMA CONSECO CONSTRUÇÃO SERVIÇOS E COMERCIO LTDA.",4782567.6
"3890","SAÚDE","Contratação de empresa especializada em prestação de serviço de manutenção preventiva e corretiva de autoclaves, com fornecimento de peças.","VESTATECH EQUIPAMENTOS HOSPITALARES LTDA. EPP",178874.88
"3891","FUNDACAO THEATRO MUNICIPAL","Parceria","Ato Produções Eireli -ME",NA
"3892","EDUCAÇÃO","Celebração de Convênio","CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO",3187990
"3893","EDUCAÇÃO","Celebração de Convênio","ONG PLENO VIVER",2553865
"3894","EDUCAÇÃO","Celebração de convênio","SERVIÇO ASSISTENCIAL LAR ESTRELA GUIA",1431909.7
"3895","EDUCAÇÃO","Convênio – Celebração em continuidade","ASSISTÊNCIA E PROMOÇÃO SOCIAL NOSSO LAR",2856945
"3896","EDUCAÇÃO","Celebração de convênio","SOCIEDADE AMIGOS DO JARDIM GUARUJÁ E CHÁCARA SANT",1053893
"3897","EDUCAÇÃO","Projeto “Esporte Solidário nos CEUs”",NA,NA
"3898","SUBPREFEITURA: CIDADE ADEMAR","Locação de máquinas e veículos pesados, incluindo motoristas, operadores e combustíveis, através de empresa especializada nesses serviços((CL)), conforme as especificações constantes no ANEXO III do Edital.","CONSTRUTORA ANASTÁCIO LTDA",609000
"3899","SUBPREFEITURA: CIDADE ADEMAR","A Contratação de empresa para PRESTAÇÃO DE SERVIÇOS DE PINTURA/RECUPERAÇÃO DE SUPERFÍCIES PICHADAS, COM FORNECIMENTO DE EQUIPAMENTOS, MATERIAIS E MÃO DE OBRA, à Prefeitura do Município de São Paulo, Subprefeitura Cidade Ademar, cujas características, especificações técnicas e condições encontram-se descritas no ANEXO III do Edital.","POTENZA ENGENHARIA E CONSTRUÇÃO LTDA",237000
"3900","SUBPREFEITURA: CIDADE ADEMAR","Contratação de empresa para a prestação de serviços de limpeza manual de galerias, córregos e canais, através de 02 equipes, no Município de São Paulo, por 12 (doze) meses a partir de 13/04/2011, pelo valor total de R$ 804.240,00 (oitocentos e quatro mil duzentos e quarenta reais).","POTENZA ENGENHARIA E CONSTRUÇÃO LTDA",928560
"3901","DIREITOS HUMANOS E CIDADANIA","SMDHC - Contratação de natureza artística. - DESPACHO DE AUTORIZAÇÃO - CESAR HABERT PACIORNIK","CESAR HABERT PACIORNIK",37846
"3902","SAÚDE","Aquisição de Material para Acupuntura","CIRÚRGICA FERNANDES – COM MAT CIR HOSP LTDA.",4652.4
"3903","COMPANHIA METROPOLITANA DE HABITAÇÃO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA MÉDICA, HOSPITALAR E CIRÚRGICA AOS FUNCIONÁRIOS E DIRETORES DA COHAB-SP, SEUS DEPENDENTES E AGREGADOS REGULARMENTE NOMEADOS E ESTAGIÁRIOS, INCLUSIVE NOS CASOS DE ACIDENTES DO TRABALHO, ISENTOS DE CARÊNCIA, nos termos das especificações que integram o Edital e seus Anexos.","AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A",3966153.12
"3904","ESPORTES, LAZER E RECREAÇÃO","Contratação de empresa especializada em prestação de serviços de vigilância e segurança patrimonial desarmada, com equipamento de intercomunicação e serviço de monitoramento eletrônico local e a distancia com instalação de CFTV com manutenção preventiva e corretiva do sistema.","ATENTO SÃO PAULO SERVIÇOS DE SEGURANÇA PATRIMONIA",29022966
"3905","POLITICAS PARA AS MULHERES","Contratação direta por dispensa de licitação da empresa PAINEIRAS LIMPEZA E SERVIÇOS GERAIS LTDA, inscrita no CNPJ sob o nº 55.905.350/0001-99, objetivando a prestação de serviços de limpeza, copeiragem, asseio e conservação predial, dedetização, desratização, descupinização e limpeza de caixas d’agua nos CRM’S e CCM’S e sede da SMPM.","PAINEIRAS LIMPEZA E SERVIÇOS GERAIS LTDA",348000
"3906","TRIBUNAL DE CONTAS","Prestação de Serviços especializados de suporte preventivo e corretivo para produtos da marca VMware VSphere, pelo período de 12 (doze) meses.","OS&T COMÉRCIO E CONSULTORIA DE INFORMÁTICA LTDA.",80544.28
"3907","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “WGP Final Tour - 2014”","Confederação Brasileira de Kickboxing",231000
"3908","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização da Virada Esportiva 2014","Associação Brasileira de Otorrinolaringologia e Ci",NA
"3909","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização da Virada Esportiva 2014","Associação Brasileira de Esportes de Ação",231100
"3910","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização da Virada Esportiva 2014","Instituto Pangea de Ação Cultural e Esportiva - I",37840
"3911","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização da Virada Esportiva 2014","Instituto Pangea de Ação Cultural e Esportiva - IP",40560
"3912","SÃO PAULO TURISMO","Fornecimento de energia elétrica","ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAUL",2e+06
"3913","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização da Virada Esportiva 2014","Clube da Comunidade Brasimet Parentes Unidos",25395
"3914","HABITAÇÃO","EXECUÇÃO DE OBRAS DO PROGRAMA DE URBANIZAÇÃO DE FAVELAS – LOTE 06, NO ÂMBITO DA COORDENADORIA DE HABITAÇÃO DA SEHAB, INTEGRADA PELA SUPERINTENDENCIA DE HABITAÇÃO POPULAR – HABI, PELO PROGRAMA MANANCIAIS E PELO DEPARTAMENTO DE REGULARIZAÇÃO DO PARCELAMENTO DO SOLO  - RESOLO","CONSÓRCIO PAEZ SIMÉTRICA",76309773.89
"3915","ESPORTES, LAZER E RECREAÇÃO","Celebração de Convênio para a realização do evento “Criança em Ação”","Federação Paulista de Esportes e Fitness",126732
"3916","EDUCAÇÃO","LOCAÇÃO DE 02 (DOIS) VEÍCULOS DE REPRESENTAÇÃO, COM MOTORISTA,  COMBUSTÍVEL E KILOMETRAGEM LIVRE.","CTPT - COOPERATIVA DE TRABALHO DOS PROFISSIONAIS D",260997.12
"3917","HABITAÇÃO","EXECUÇÃO DE OBRAS DO PROGRAMA DE SANEAMENTO, PROTEÇÃO AMBIENTAL E RECUPERAÇÃO DA QUALIDADE DAS ÁGUAS EM ÁREAS DEGRADADAS DE MANANCIAL HÍDRICO DAS BACIAS GUARAPIRANGA E BILLINGS, URBANIZAÇÃO DE FAVELAS E REGULARIZAÇÃO DE LOTEAMENTOS PRECÁRIOS – LOTE 10, NO ÂMBITO DA COORDENADORIA DE HABITAÇÃO DA SECRETARIA MUNICIPAL DE HABITAÇÃO – SEHAB, INTEGRADA PELA SUPERINTENDÊNCIA DE HABITAÇÃO POPULAR – HABI, PELO PROGRAMA MANANCIAIS E PELO DEPARTAMENTO DE REGULARIZAÇÃO DE PARCELAMENTO DO SOLO - RESOLO.","CONSÓRCIO BLK/KALLAS",13736299.52
"3918","EDUCAÇÃO","CONTRATAÇÃO DE  EMPRESA PARA  PRESTAÇÃO DE  SERVIÇOS  DE  LIMPEZA DOS  CEU´S","AGRÍCOLA E CONSTRUTORA MONTE AZUL LTDA",13271637.96
"3919","PLANEJAMENTO, ORÇAMENTO E GESTÃO","PRESTAÇÃO DE SERVIÇO TELEFÔNICO FIXO COMUTADO – STFC, CONTÍNUO, POR MEIO DE LINHAS DIRETAS NÃO RESIDENCIAIS E ENTRONCAMENTOS DIGITAIS (E1), COM SERVIÇO DE DISCAGEM DIRETA A RAMAL – DDR, COM LOCAÇÃO OPCIONAL DE SISTEMA DE PABX COM DDR, COM SERVIÇO DE INSTALAÇÃO, GERENCIAMENTO E MANUTENÇÃO, POR EMPRESA ESPECIALIZADA E DEVIDAMENTE AUTORIZADA, DESTINADO AO TRÁFEGO DE CHAMADAS LOCAIS E DE LONGA DISTÂNCIA (NACIONAL E INTERNACIONAL) ENTRE UNIDADES DA PREFEITURA DO MUNICÍPIO DE SÃO PAULO E A REDE PÚBLICA, ATENDENDO ÀS NORMAS DA ANATEL/UIT-T.","EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S/A EMBRATE",36883.92
"3920","PLANEJAMENTO, ORÇAMENTO E GESTÃO","PAPEL RECICLADO – A4 – 210 X 297 mm - 75 g/m²","BIGNARDI INDUSTRIA E COMERCIO DE PAPEIS E ARTEFATO",31215.6
"3921","SUBPREFEITURA: MBOI MIRIM","Prestação de serviços de conservação de pavimentos viários – tapa buracos - com aplicação de concreto asfáltico e emulsão da pintura de ligação, por tonelada","Trajeto Construções e Serviços Ltda.",1092828
"3922","SAÚDE","Tratamento de clientela que necessite de assistência médica em regime ambulatorial e/ou de internação, para atender à demanda submetida à regulação e autorização do  Complexo Regulador Municipal.","ASSOCIAÇÃO BENEFICENTE SOCIAL NOSSA SENHORA PARI",150000
"3923","SAÚDE","Celebração de Convênio com o INSTITUTO PAULISTA DE ESTUDOS E PESQUISAS EM OFTALMOLOGIA - IPEPO, para Execução de Serviços Ambulatoriais Especializados na Área de Oftalmologia à demanda do Município de São Paulo","INSTITUTO PAULISTA ESTUDOS PESQ OFTALMOLOGIA-IPEPO",1584026.52
"3924","EDUCAÇÃO","CONTRATAÇÃO DE  EMPRESA PARA  PRESTAÇÃO DE  SERVIÇOS  DE  LIMPEZA DOS  CEU´S","QUALITÉCNICA EMPRESA NACIONAL DE SERVIÇOS LTDA",6127023.6
"3925","SÃO PAULO TRANSPORTE","CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA, ASSEIO E CONSERVAÇÃO DE TERMINAIS E ESTAÇÕES DE TRANSFERÊNCIA DO SISTEMA DE TRANSPORTE COLETIVO URBANO DE PASSAGEIROS NA CIDADE DE SÃO PAULO.","EMPRESA TEJOFRAN DE SANEAMENTO E SERVIÇOS LTDA",128744.07
"3926","INFRA-ESTRUTURA URBANA E OBRAS","Prestação de serviços técnico-profissionais para elaboração de projeto executivo completo para reforma e ampliação do hospital municipal Dr. José Soares Hungria","FRONTAL ARQUITETOS ASSOCIADOS LTDA - EPP.",445804.92
"3927","SÃO PAULO TURISMO","Aquisição de Açúcar com fornecimento parcelado pelo período de 12 meses","TERRÃO COMÉRCIO E REPRESENTAÇÕES LTDA.",10548
"3928","INFRA-ESTRUTURA URBANA E OBRAS","OBJETO – Execução das obras e serviços de reforma e adequações das instalações permanentes, visando a realização do 42º Grande Prémio Brasil de Fórmula 1 – 2013, no Autódromo Municipal José Carlos Pace - Interlagos(.","CONSTRUTORA PROGREDIOR LTDA.",4998480.36
"3929","EDUCAÇÃO","CONTRATAÇÃO DE  EMPRESA PARA  PRESTAÇÃO DE  SERVIÇOS  DE  LIMPEZA DOS  CEU´S","A. TONANNI CONSTRUÇÕES E SERVIÇOS LTDA",13997509.2
"3930","EDUCAÇÃO","Celebração Convênio MOVA","SOCIEDADE SANTOS MÁRTIRES",265920
"3931","EDUCAÇÃO","Celebração de convênio","CLUBE DE MÃES ROSAS DO JARDIM SANTA CRUZ",1720765
"3932","SUBPREFEITURA: SANTANA/TUCURUVI","LOCAÇÃO DE MÁQUINA PESADA COM OPERADOR E COMBUSTÍVEL - RETROESCAVADEIRA - ATRAVÉS  DE EMPRESA ESPECIALIZADA","PADOCK MÁQUINAS E EQUIPAMENTOS LTDA",197614.08
"3933","EDUCAÇÃO","celebração de convênio em continuidade","SOCIEDADE ESPÍRITA TEREZINHA DE JESUS",1310497.5
"3934","EDUCAÇÃO","Celebração de Convênio","ASSOCIAÇÃO EDUCACIONAL SOPHIA MARCHETTI",5744212.5
"3935","EDUCAÇÃO","Celebração de Convênio -","ASSOCIAÇÃO BENEFICENTE MUNDO ENCANTADO",3446035.5
"3936","EDUCAÇÃO","Celebração de convênio","ASSOCIAÇÃO VALE VERDE",1595940.63
"3937","SUBPREFEITURA: IPIRANGA","Serviços gerais de manutenção do playground, implantação de Academia da Terceira Idade - ATI e melhorias na acessibilidade, com fornecimento de materiais de primeira linha e mão de obra especializada, conforme “Tabela de Custos Unitários e Caderno de Critérios Técnicos EDIF/SIURB - Data Base: Janeiro / 2014, publicada no DOC de 24/05/2014"" na Praça sem denominação existente nas Ruas Jacques Blanchard e José do Castro Ribeiro.","ALLTEC CONSTRUÇÕES E COMÉRCIO LTDA.-EPP",28914.15
"3938","CULTURA","Investimento automático à distribuição e comercialização de projetos audiovisuais.","WMIX DISTRIBUIDORA LTDA",1e+05
"3939","SAÚDE","CONTRATAÇÃO DE ONG PARA REALIZAÇÃO DE MUTIRÕES DE ESTERILIZAÇÕES CIRÚRGICAS DE CÃES E GATOS - ONG: CLUBE DA CIDADANIA VIGILANTES DA VIDA","ONG - CLUBE DA CIDADANIA - VIGILANTES DA VIDA",219600
"3940","SAÚDE","CONTRATAÇÃO DE ONG PARA REALIZAÇÃO DE MUTIRÕES DE ESTERILIZAÇÕES CIRÚRGICAS DE CÃES E GATOS - ONG: S.O.S 4 PATAS SOCIEDADE DE AUXILIO AOS ANIMAIS","ONG - SOS 4 PATAS-SOCIEDADE DE AUXÍLIO AOS ANIMAIS",219600
"3941","SUBPREFEITURA: PENHA","Prestação de serviços de Manutenção e Conservação de Logradouros Públicos através de Equipes.","MOLISE SERVIÇOS E CONSTRUÇÕES LTDA.",440285.23
"3942","SUBPREFEITURA: PENHA","CONSTRUÇÃO DE QUADRA DE BOCHA NA PRAÇA DIOMID GARGALAC.","RENOVA CONSTRUTORA LTDA-ME",94926.36
"3943","SUBPREFEITURA: PENHA","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA /SEGURANÇA PATRIMONIAL DESARMADA.","GUARDA DE ELITE SEGURANÇA E VIGILÂNCIA LTDA-EPP",250732.8
"3944","SUBPREFEITURA: PINHEIROS","Contratação de prestação de serviços a PMSP de manutenção e conservação de galerias e demais dispositivos de drenagem superficial junto a córregos e canais, através de 02 equipe/mês, pelo período de 04 (quatro) meses","Trajeto Construções e Serviços Ltda.",644526.16
"3945","EDUCAÇÃO","Aquisição – carne bovina em peça cortada ao meio - corte patinho","JBS S/A",5925000
"3946","CULTURA","Celebração de convênio para realização do evento “2ª Mostra Internacional de Teatro de São Paulo – MIT#sp”, a ser realizado em março de 2014","ECUM CENTRAL DE PRODUÇÃO LTDA-ME",3e+05
"3947","EDUCAÇÃO","CONTRATAÇÃO DE  EMPRESA PARA  PRESTAÇÃO DE  SERVIÇOS  DE  LIMPEZA DOS  CEU´S","WHITENESS CONSULTORIA E SERVIÇOS LTDA",7222914
"3948","EDUCAÇÃO","CONTRATAÇÃO DE  EMPRESA PARA  PRESTAÇÃO DE  SERVIÇOS  DE  LIMPEZA DOS  CEU´S","TB SERVIÇOS, TRANSPORTES, LIMPEZA, GERENCIAMENTO,",6824408.4
"3949","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","AQUISIÇÃO DE GÁS MEDICINAL E INDUSTRIAL","AIR LIQUIDE BRASIL LTDA.",10714
